2026-03-05 10:52:03.712 INFO  [main] c.o.r.server.EurekaServerApplication - Starting EurekaServerApplication using Java 17.0.13 with PID 14072 (C:\Users\rava1124\IdeaProjects\BillOps\e-commerce-application-new\eureka-discovery-server\target\classes started by rava1124 in C:\Users\rava1124\IdeaProjects\BillOps\e-commerce-application-new\eureka-discovery-server)
2026-03-05 10:52:03.715 INFO  [main] c.o.r.server.EurekaServerApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-05 10:52:05.245 INFO  [main] o.s.cloud.context.scope.GenericScope - BeanFactory id=3f6512c0-5c30-3afb-9fa1-e228a9019e64
2026-03-05 10:52:06.299 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8761 (http)
2026-03-05 10:52:06.316 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8761"]
2026-03-05 10:52:06.320 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-05 10:52:06.321 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.49]
2026-03-05 10:52:06.413 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-05 10:52:06.414 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2645 ms
2026-03-05 10:52:07.544 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2026-03-05 10:52:07.546 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2026-03-05 10:52:07.720 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2026-03-05 10:52:07.720 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2026-03-05 10:52:08.028 INFO  [main] o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-03-05 10:52:10.186 WARN  [main] o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2026-03-05 10:52:10.227 INFO  [main] o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2026-03-05 10:52:10.262 INFO  [main] c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2026-03-05 10:52:10.262 INFO  [main] c.netflix.discovery.DiscoveryClient - Client configured to neither register nor query for data.
